AggregationMethod,Date,Version,AirportName,PercentOfBaseline,Centroid,City,State,ISO_3166_2,Country,Geography
Daily,2020-07-02,1.0,Kingsford Smith,56,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
Daily,2020-07-05,1.0,Kingsford Smith,52,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
Daily,2020-07-17,1.0,Kingsford Smith,51,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
Daily,2020-04-22,1.0,Kingsford Smith,60,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
Daily,2020-05-08,1.0,Kingsford Smith,56,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
Daily,2020-05-30,1.0,Kingsford Smith,30,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
Daily,2020-07-19,1.0,Kingsford Smith,52,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
Daily,2020-08-01,1.0,Kingsford Smith,25,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
Daily,2020-08-12,1.0,Kingsford Smith,19,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
Daily,2020-09-16,1.0,Kingsford Smith,18,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
Daily,2020-09-20,1.0,Kingsford Smith,16,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
Daily,2020-03-17,1.0,Kingsford Smith,90,POINT(151.180087713813 -33.9459774986125),Sydney,New South Wales,AU,Australia,"POLYGON((151.164354085922 -33.9301772341877, 151.163324117661 -33.9314858053159, 151.162401437759 -33.9331593227645, 151.162884235382 -33.9383933033487, 151.161521673203 -33.9436358627068, 151.161618232727 -33.9442766967147, 151.166081428528 -33.9466441805192, 151.16721868515 -33.9469022856749, 151.168785095215 -33.9484242001615, 151.170630455017 -33.947525294895, 151.173548698425 -33.9476320960177, 151.178312301636 -33.9665337833809, 151.182732582092 -33.9683489786462, 151.186509132385 -33.9664270059823, 151.191959381104 -33.9741858145403, 151.196036338806 -33.9736875637022, 151.191744804382 -33.957564014614, 151.193289756775 -33.9558553799976, 151.191916465759 -33.9526159993504, 151.187710762024 -33.9449620277457, 151.192560195923 -33.9434311508265, 151.193375587463 -33.9396928473073, 151.193032264709 -33.9352422719452, 151.191573143005 -33.9327498481298, 151.185672283173 -33.931859679088, 151.184041500092 -33.9308804823952, 151.183848381042 -33.9296698236468, 151.184105873108 -33.9278538032567, 151.182882785797 -33.9265540786173, 151.179149150848 -33.9256994543482, 151.174685955048 -33.9261801815546, 151.17086648941 -33.9268567559897, 151.168946027756 -33.9272573567407, 151.167154312134 -33.928316714092, 151.164600849152 -33.9296787256121, 151.164354085922 -33.9301772341877))"
